entry,expiry,spot_in,spot_out,condor_credit,condor_pnl,lottery_pnl
2021-03-12,2021-03-18,15031,14558,163.49,-36.15,
2021-03-19,2021-03-25,14744,14325,164.07,-34.19,
2021-03-26,2021-04-01,14507,14867,162.58,-32.59,
2021-04-09,2021-04-15,14835,14581,155.0,-30.73,-12.4
2021-04-16,2021-04-22,14618,14406,162.61,8.56,
2021-04-23,2021-04-29,14341,14895,161.65,-38.25,
2021-04-30,2021-05-06,14631,14725,159.71,58.22,-19.1
2021-05-07,2021-05-19,14823,15030,169.86,-1.76,
2021-05-14,2021-05-20,14678,14906,145.22,-25.89,-4.29
2021-05-21,2021-05-27,15175,15338,150.76,20.51,-7.57
2021-05-28,2021-06-03,15436,15690,147.49,-35.22,-5.88
2021-06-04,2021-06-10,15670,15738,139.2,44.67,-1.94
2021-06-11,2021-06-17,15799,15691,133.74,26.04,-1.47
2021-06-18,2021-06-24,15683,15790,104.01,11.83,-0.01
2021-06-25,2021-07-01,15860,15680,109.48,-53.05,-0.02
2021-07-02,2021-07-08,15722,15728,104.47,64.16,-0.01
2021-07-09,2021-07-15,15690,15924,104.86,-87.94,-0.02
2021-07-16,2021-07-22,15923,15824,108.02,32.17,-0.01
2021-07-23,2021-07-29,15856,15778,122.32,47.43,-0.16
2021-07-30,2021-08-05,15763,16295,122.16,-77.82,-0.17
2021-08-06,2021-08-12,16238,16364,130.46,15.69,-0.87
2021-08-13,2021-08-25,16529,16635,150.4,59.97,-8.73
2021-08-20,2021-08-26,16450,16637,120.45,-51.99,-0.11
2021-08-27,2021-09-02,16705,17234,117.97,-82.01,-0.08
2021-09-03,2021-09-09,17324,17369,124.6,48.79,-0.27
2021-09-17,2021-09-23,17585,17823,122.51,-65.58,-0.29
2021-09-24,2021-09-30,17853,17618,135.9,-49.86,-1.12
2021-10-01,2021-10-07,17532,17790,130.37,-60.19,-0.8
2021-10-08,2021-10-14,17895,18339,140.95,-59.02,-3.22
2021-10-22,2021-10-28,18115,17857,136.81,-51.94,-1.39
2021-10-29,2021-11-04,17672,17917,148.24,-41.22,-5.56
2021-11-12,2021-11-18,18103,17765,150.76,-46.59,-6.49
2021-11-26,2021-12-02,17026,17402,158.78,-36.92,-17.11
2021-12-03,2021-12-09,17197,17517,158.29,-33.92,-18.3
2021-12-10,2021-12-16,17511,17248,164.1,-9.32,
2021-12-17,2021-12-23,16985,17073,162.9,58.07,
2021-12-24,2021-12-30,17004,17204,159.51,-1.07,-16.32
2021-12-31,2022-01-06,17354,17746,157.74,-40.78,-13.65
2022-01-07,2022-01-13,17813,18258,155.46,-44.34,-11.33
2022-01-14,2022-01-20,18256,17757,151.05,-48.92,-6.84
2022-01-21,2022-01-27,17617,17110,146.39,-53.59,-4.4
2022-01-28,2022-02-03,17102,17560,156.56,-43.19,-11.95
2022-02-04,2022-02-10,17516,17606,158.53,44.71,-15.75
2022-02-11,2022-02-17,17375,17305,161.16,67.49,
2022-02-18,2022-02-24,17276,16248,169.34,-30.64,
2022-02-25,2022-03-03,16658,16498,173.92,34.55,
2022-03-04,2022-03-10,16245,16595,172.28,-12.16,
2022-03-11,2022-03-17,16630,17287,174.86,-24.54,
2022-03-25,2022-03-31,17153,17465,174.33,-2.64,
2022-04-01,2022-04-07,17670,17640,164.61,68.65,
2022-04-08,2022-04-21,17784,17393,171.38,-27.44,
2022-04-22,2022-04-28,17172,17245,157.59,49.58,-14.74
2022-04-29,2022-05-05,17103,16683,161.32,-37.31,-19.49
2022-05-06,2022-05-12,16411,15808,158.11,-41.87,-14.7
2022-05-13,2022-05-19,15782,15809,157.37,74.94,-15.38
2022-05-20,2022-05-26,16266,16170,168.02,54.34,
2022-05-27,2022-06-02,16352,16628,166.6,-11.14,
2022-06-03,2022-06-09,16584,16478,165.76,41.55,
2022-06-10,2022-06-16,16202,15361,164.12,-35.86,
2022-06-17,2022-06-23,15294,15557,153.13,-30.61,-10.95
2022-06-24,2022-06-30,15699,15780,159.03,56.15,-19.81
2022-07-01,2022-07-07,15752,16133,155.97,-42.42,-11.21
